objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E05000026,Abbey, ,544434,184378,0.081291,51.53982162,1256363.06574766,8051.43952258425
2,E05000027,Alibon, ,549247,185196,0.150987,51.54592133,1364442.5387649,6353.92898044099
3,E05000028,Becontree, ,546863,185869,0.116912,51.55260086,1288084.92558806,6341.64459094701
4,E05000029,Chadwell Heath, ,548266,189340,0.138596,51.5834198,3384193.69820972,9603.41738985951
5,E05000030,Eastbrook, ,550774,186272,0.173453,51.55519104,3450576.52361603,8987.8039464369
6,E05000031,Eastbury, ,546074,183978,0.104756,51.53580856,1439217.62302667,6828.14290800086
7,E05000032,Gascoigne, ,544763,183581,0.085704,51.53258133,1089652.20183218,7791.23944043287
8,E05000033,Goresbrook, ,548007,184060,0.132641,51.53604126,1277822.92774729,5703.29734061142
9,E05000034,Heath, ,549340,186620,0.152931,51.55868912,2001301.34315756,8064.95330555082
10,E05000035,Longbridge, ,545276,184914,0.093644,51.54442978,1645284.87224142,6377.03073460532
11,E05000036,Mayesbrook, ,547124,185052,0.120332,51.5451889,1856445.16170432,7635.29856876864
12,E05000037,Parsloes, ,548150,185599,0.13534801,51.54983139,1243847.14490401,6796.70448470886
13,E05000038,River, ,549432,182817,0.15264501,51.5245018,3129031.9286248,9838.82652667957
14,E05000039,Thames, ,547151,182704,0.119742,51.52407837,6687242.75823173,13232.9035693563
15,E05000040,Valence, ,548153,186867,0.13592499,51.56122971,1292827.19718561,5791.45738918311
16,E05000041,Village, ,550361,184190,0.166611,51.53659058,2147500.87289743,7860.11947448199
17,E05000042,Whalebone, ,548545,187662,0.141911,51.56827164,1553975.79586808,7013.80264457089
18,E05000043,Brunswick Park, ,528433,193715,-0.14588,51.62760162,3175248.5971309,8411.1630269044
19,E05000044,Burnt Oak, ,520522,190761,-0.26113001,51.60279846,2067225.90767775,6779.83285603254
20,E05000045,Childs Hill, ,524656,186687,-0.20291001,51.56528854,3093004.40235528,9327.4487779271
21,E05000046,Colindale, ,521442,189584,-0.24826001,51.59201813,2636242.96991071,8455.92184141508
22,E05000047,Coppetts, ,528052,191830,-0.15207,51.61074829,2720607.2298714,7975.26538142811
23,E05000048,East Barnet, ,527475,195754,-0.15897,51.64614105,3749406.28865691,9677.15582344787
24,E05000049,East Finchley, ,526811,190033,-0.17062999,51.59487915,2509887.53032109,8188.45593818793
25,E05000050,Edgware, ,518863,193351,-0.28420001,51.62643051,5556470.26107252,12882.6923513428
26,E05000051,Finchley Church End, ,524690,190195,-0.20118,51.59680939,2725663.51105896,8223.78579850469
27,E05000052,Garden Suburb, ,526124,188445,-0.18111999,51.58076096,4727042.25368783,10448.1541744575
28,E05000053,Golders Green, ,523819,187290,-0.21477,51.57088852,2972917.80060874,9407.99020852349
29,E05000054,Hale, ,520890,193803,-0.25477001,51.63005829,5423188.56373103,15683.382117869
30,E05000055,Hendon, ,523084,189557,-0.22458,51.59143066,2838689.93735524,7781.5754402679
31,E05000056,High Barnet, ,523890,196696,-0.21043,51.65541077,8306626.16234179,19783.9207941505
32,E05000057,Mill Hill, ,523111,192066,-0.22330999,51.61397171,9389243.83013025,14778.2586882166
33,E05000058,Oakleigh, ,526687,194738,-0.17072,51.63719177,3318592.94051772,11713.8931234914
34,E05000059,Totteridge, ,524649,193508,-0.20059,51.62659073,8774456.32243563,17435.7277017637
35,E05000060,Underhill, ,523991,195493,-0.20939,51.6445694,4550549.13771293,16319.7600742388
36,E05000061,West Finchley, ,525518,191440,-0.18878999,51.60781097,2163447.36256048,7848.15579751905
37,E05000062,West Hendon, ,522394,188065,-0.23504999,51.57817078,3428659.01376235,10262.7286879805
38,E05000063,Woodhouse, ,526776,191859,-0.17048,51.61130142,2621155.28809342,8890.52213103546
39,E05000064,Barnehurst, ,550460,175355,0.164272,51.45718002,2877358.62838646,10259.9370980061
40,E05000065,Belvedere, ,549321,178637,0.149278,51.48696899,2866092.31698713,10104.8794273803
41,E05000066,Blackfen and Lamorbey, ,545401,173876,0.090901,51.4452095,1685583.12486083,8409.81247400529
42,E05000067,Blendon and Penhill, ,547322,173969,0.118562,51.44554901,2097927.34296452,7861.7673704138
43,E05000068,Brampton, ,548864,176676,0.141874,51.46947098,1967480.49580605,7414.2000714149
44,E05000069,Christchurch, ,548925,175206,0.142132,51.45624924,2552072.43947398,8722.04185804509
45,E05000070,Colyers, ,550740,176890,0.168954,51.47090149,1643925.43693331,7123.72265863229
46,E05000071,Crayford, ,551768,175070,0.182962,51.45426941,3968030.19477188,11226.2943695885
47,E05000072,Cray Meadows, ,548274,171449,0.13119701,51.42266083,7190300.21750337,14107.2887366222
48,E05000073,Danson Park, ,547301,175187,0.118768,51.45650101,2713254.15669334,8660.26506703423
49,E05000074,East Wickham, ,545785,176411,0.097468,51.46789169,2173116.43771149,6734.02730520264
50,E05000075,Erith, ,550726,178873,0.169598,51.48871994,3441686.82596816,10965.2533699499
51,E05000076,Falconwood and Welling, ,545455,175296,0.092262,51.45795822,1670253.84413016,7741.84965972098
